9043071,Rick Wilson,Alberta,West,Corporate,40732966,Tamara Dahlen,Ontario,Ontario.1
60345992.0,Barry French,Nunavut,Nunavut,Consumer,,,,
73316576.0,Lindsay Shagiari,Ontario,Ontario,Home Office,,,,
95284420.0,Cathy Armstrong,British Columbia,West,Consumer,,,,
72906222.0,Tracy Hopkins,British Columbia,West,Small Business,,,,
74518551.0,Helen Andreada,Manitoba,Prarie,Corporate,,,,
104516246.0,Olvera Toch,Ontario,Ontario,Home Office,,,,
104598944.0,Paul MacIntyre,Nova Scotia,Atlantic,Corporate,,,,
101777049.0,Darrin Van Huff,Saskachewan,Prarie,Home Office,,,,
12392564.0,Troy Blackwell,Ontario,Ontario,Home Office,,,,
103724988.0,Brenda Bowman,Quebec,Quebec,Small Business,,,,
100099945.0,Ed Ludwig,Ontario,Ontario,Consumer,,,,
4221093.0,Patrick Ryan,Saskachewan,Prarie,Corporate,,,,
72489079.0,Denise Monton,Saskachewan,Prarie,Home Office,,,,
101656918.0,Craig Carroll,Alberta,West,Corporate,,,,
14548487.0,Guy Armstrong,Prince Edward Island,Atlantic,Corporate,,,,
27242353.0,Carl Weiss,Saskachewan,Prarie,Consumer,,,,
31379257.0,Joseph Airdo,Manitoba,Prarie,Consumer,,,,
90097133.0,Randy Bradley,Saskachewan,Prarie,Small Business,,,,
8230900.0,Thais Sissman,Manitoba,Prarie,Small Business,,,,
36349541.0,Dorothy Wardle,Nunavut,Nunavut,Corporate,,,,
93429106.0,Julia West,Northwest Territories,Northwest Territories,Small Business,,,,
19890992.0,Stephanie Phelps,Alberta,West,Consumer,,,,
18293658.0,Karen Carlisle,British Columbia,West,Home Office,,,,
60636010.0,Roy Phan,Alberta,West,Corporate,,,,
56352213.0,Pauline Chand,Ontario,Ontario,Corporate,,,,
71604925.0,Brad Eason,Ontario,Ontario,Small Business,,,,
13884388.0,Thomas Boland,Ontario,Ontario,Corporate,,,,
85518221.0,Liz Pelletier,Saskachewan,Prarie,Home Office,,,,
77579377.0,Berenike Kampe,Nova Scotia,Atlantic,Corporate,,,,
72058336.0,Roy Skaria,British Columbia,West,Corporate,,,,
15023876.0,Dennis Pardue,Saskachewan,Prarie,Small Business,,,,
67135124.0,Pamela Coakley,Ontario,Ontario,Corporate,,,,
90365410.0,Arthur Gainer,Quebec,Quebec,Corporate,,,,
100684577.0,Maria Zettner,Alberta,West,Corporate,,,,
20700273.0,Ionia McGrath,New Brunswick,Atlantic,Small Business,,,,
65938413.0,George Bell,Ontario,Ontario,Corporate,,,,
51065809.0,Larry Tron,Alberta,West,Home Office,,,,
90627719.0,Gary McGarr,Manitoba,Prarie,Home Office,,,,
59440797.0,Nicole Brennan,Yukon,Yukon,Consumer,,,,
88815489.0,Luke Weiss,British Columbia,West,Corporate,,,,
79337791.0,Brad Thomas,Yukon,Yukon,Home Office,,,,
73805224.0,Chloris Kastensmidt,Alberta,West,Consumer,,,,
38797703.0,Rick Wilson,Saskachewan,Prarie,Corporate,,,,
32775334.0,Cari MacIntyre,Ontario,Ontario,Corporate,,,,
33888882.0,Alice McCarthy,Alberta,West,Corporate,,,,
65676679.0,Ben Peterman,Quebec,Quebec,Corporate,,,,
75234630.0,Lisa Hazard,Alberta,West,Home Office,,,,
100100202.0,Brad Norvell,Nova Scotia,Atlantic,Corporate,,,,
65181272.0,Rob Haberlin,British Columbia,West,Corporate,,,,
66496454.0,Paul Knutson,Quebec,Quebec,Corporate,,,,
75322156.0,Anne Pryor,Quebec,Quebec,Consumer,,,,
45168399.0,Matt Collins,British Columbia,West,Consumer,,,,
